
injection: 0, rbf_PE_time: 2.80 minutes, sim_time: 5.89 minutes
injection: 1, rbf_PE_time: 1.87 minutes, sim_time: 4.70 minutes
injection: 2, rbf_PE_time: 1.61 minutes, sim_time: 4.48 minutes
injection: 3, rbf_PE_time: 1.54 minutes, sim_time: 4.52 minutes
injection: 4, rbf_PE_time: 1.76 minutes, sim_time: 4.55 minutes
injection: 5, rbf_PE_time: 1.83 minutes, sim_time: 4.75 minutes
injection: 6, rbf_PE_time: 1.80 minutes, sim_time: 4.60 minutes
injection: 7, rbf_PE_time: 2.05 minutes, sim_time: 4.93 minutes
injection: 8, rbf_PE_time: 1.92 minutes, sim_time: 4.68 minutes
injection: 9, rbf_PE_time: 1.59 minutes, sim_time: 4.39 minutes
injection: 10, rbf_PE_time: 1.67 minutes, sim_time: 4.37 minutes
injection: 11, rbf_PE_time: 1.84 minutes, sim_time: 4.85 minutes
injection: 12, rbf_PE_time: 1.63 minutes, sim_time: 4.33 minutes
injection: 13, rbf_PE_time: 1.43 minutes, sim_time: 4.24 minutes
injection: 14, rbf_PE_time: 1.50 minutes, sim_time: 4.16 minutes
injection: 15, rbf_PE_time: 1.86 minutes, sim_time: 4.57 minutes
injection: 16, rbf_PE_time: 1.53 minutes, sim_time: 4.33 minutes
injection: 17, rbf_PE_time: 1.78 minutes, sim_time: 4.43 minutes
injection: 18, rbf_PE_time: 1.77 minutes, sim_time: 4.66 minutes
injection: 19, rbf_PE_time: 1.63 minutes, sim_time: 4.41 minutes
injection: 20, rbf_PE_time: 1.96 minutes, sim_time: 4.79 minutes
injection: 21, rbf_PE_time: 1.73 minutes, sim_time: 4.34 minutes
injection: 22, rbf_PE_time: 1.71 minutes, sim_time: 4.36 minutes
injection: 23, rbf_PE_time: 1.58 minutes, sim_time: 4.23 minutes
injection: 24, rbf_PE_time: 1.97 minutes, sim_time: 4.61 minutes
injection: 25, rbf_PE_time: 1.58 minutes, sim_time: 4.30 minutes
injection: 26, rbf_PE_time: 1.66 minutes, sim_time: 4.51 minutes
injection: 27, rbf_PE_time: 2.09 minutes, sim_time: 4.99 minutes
injection: 28, rbf_PE_time: 1.60 minutes, sim_time: 4.41 minutes
injection: 29, rbf_PE_time: 1.56 minutes, sim_time: 4.55 minutes
injection: 30, rbf_PE_time: 1.69 minutes, sim_time: 4.56 minutes
injection: 31, rbf_PE_time: 1.70 minutes, sim_time: 4.42 minutes
injection: 32, rbf_PE_time: 1.70 minutes, sim_time: 4.55 minutes
injection: 33, rbf_PE_time: 1.58 minutes, sim_time: 4.29 minutes
injection: 34, rbf_PE_time: 1.68 minutes, sim_time: 4.51 minutes
injection: 35, rbf_PE_time: 1.52 minutes, sim_time: 4.22 minutes
injection: 36, rbf_PE_time: 1.62 minutes, sim_time: 6.03 minutes
injection: 37, rbf_PE_time: 1.77 minutes, sim_time: 4.70 minutes
injection: 38, rbf_PE_time: 1.75 minutes, sim_time: 4.50 minutes
injection: 39, rbf_PE_time: 1.66 minutes, sim_time: 4.37 minutes
injection: 40, rbf_PE_time: 1.73 minutes, sim_time: 4.62 minutes
injection: 41, rbf_PE_time: 1.83 minutes, sim_time: 4.71 minutes
injection: 42, rbf_PE_time: 1.41 minutes, sim_time: 4.11 minutes
injection: 43, rbf_PE_time: 2.11 minutes, sim_time: 4.80 minutes
injection: 44, rbf_PE_time: 1.63 minutes, sim_time: 4.37 minutes
injection: 45, rbf_PE_time: 1.63 minutes, sim_time: 4.40 minutes
injection: 46, rbf_PE_time: 1.40 minutes, sim_time: 4.04 minutes
injection: 47, rbf_PE_time: 1.78 minutes, sim_time: 4.71 minutes
injection: 48, rbf_PE_time: 1.85 minutes, sim_time: 4.89 minutes
injection: 49, rbf_PE_time: 1.95 minutes, sim_time: 4.65 minutes
injection: 50, rbf_PE_time: 1.63 minutes, sim_time: 4.31 minutes
injection: 51, rbf_PE_time: 1.62 minutes, sim_time: 4.31 minutes
injection: 52, rbf_PE_time: 1.95 minutes, sim_time: 4.76 minutes
injection: 53, rbf_PE_time: 1.55 minutes, sim_time: 4.27 minutes
injection: 54, rbf_PE_time: 1.88 minutes, sim_time: 4.47 minutes
injection: 55, rbf_PE_time: 1.76 minutes, sim_time: 4.98 minutes
injection: 56, rbf_PE_time: 1.66 minutes, sim_time: 4.39 minutes
injection: 57, rbf_PE_time: 2.06 minutes, sim_time: 4.89 minutes
injection: 58, rbf_PE_time: 1.89 minutes, sim_time: 4.86 minutes
injection: 59, rbf_PE_time: 2.42 minutes, sim_time: 5.16 minutes
injection: 60, rbf_PE_time: 2.12 minutes, sim_time: 5.00 minutes
injection: 61, rbf_PE_time: 1.67 minutes, sim_time: 4.27 minutes
injection: 62, rbf_PE_time: 1.68 minutes, sim_time: 4.31 minutes
injection: 63, rbf_PE_time: 1.76 minutes, sim_time: 4.46 minutes
injection: 64, rbf_PE_time: 1.79 minutes, sim_time: 4.37 minutes
injection: 65, rbf_PE_time: 1.72 minutes, sim_time: 4.62 minutes
injection: 66, rbf_PE_time: 1.88 minutes, sim_time: 4.78 minutes
injection: 67, rbf_PE_time: 1.92 minutes, sim_time: 4.78 minutes
injection: 68, rbf_PE_time: 1.76 minutes, sim_time: 4.67 minutes
injection: 69, rbf_PE_time: 1.61 minutes, sim_time: 4.34 minutes
injection: 70, rbf_PE_time: 1.67 minutes, sim_time: 4.32 minutes
