
injection: 0, rbf_PE_time: 2.88 minutes, sim_time: 9.82 minutes
injection: 1, rbf_PE_time: 2.52 minutes, sim_time: 6.32 minutes
injection: 2, rbf_PE_time: 1.95 minutes, sim_time: 5.57 minutes
injection: 3, rbf_PE_time: 1.76 minutes, sim_time: 5.30 minutes
injection: 4, rbf_PE_time: 1.95 minutes, sim_time: 5.16 minutes
injection: 5, rbf_PE_time: 2.22 minutes, sim_time: 6.01 minutes
injection: 6, rbf_PE_time: 2.16 minutes, sim_time: 5.96 minutes
injection: 7, rbf_PE_time: 2.26 minutes, sim_time: 5.70 minutes
injection: 8, rbf_PE_time: 2.13 minutes, sim_time: 5.64 minutes
injection: 9, rbf_PE_time: 1.74 minutes, sim_time: 5.63 minutes
injection: 10, rbf_PE_time: 1.76 minutes, sim_time: 5.32 minutes
injection: 11, rbf_PE_time: 2.00 minutes, sim_time: 5.48 minutes
injection: 12, rbf_PE_time: 1.82 minutes, sim_time: 5.26 minutes
injection: 13, rbf_PE_time: 1.68 minutes, sim_time: 4.92 minutes
injection: 14, rbf_PE_time: 1.75 minutes, sim_time: 5.07 minutes
injection: 15, rbf_PE_time: 2.12 minutes, sim_time: 5.44 minutes
injection: 16, rbf_PE_time: 1.90 minutes, sim_time: 5.22 minutes
injection: 17, rbf_PE_time: 2.21 minutes, sim_time: 5.73 minutes
injection: 18, rbf_PE_time: 1.89 minutes, sim_time: 5.22 minutes
injection: 19, rbf_PE_time: 1.85 minutes, sim_time: 5.15 minutes
injection: 20, rbf_PE_time: 2.19 minutes, sim_time: 5.93 minutes
injection: 21, rbf_PE_time: 1.94 minutes, sim_time: 5.28 minutes
injection: 22, rbf_PE_time: 2.03 minutes, sim_time: 5.72 minutes
injection: 23, rbf_PE_time: 1.83 minutes, sim_time: 5.14 minutes
injection: 24, rbf_PE_time: 2.12 minutes, sim_time: 5.49 minutes
injection: 25, rbf_PE_time: 1.90 minutes, sim_time: 5.12 minutes
injection: 26, rbf_PE_time: 2.14 minutes, sim_time: 5.49 minutes
